Scientific Name,Classification,Lowest Price RON,Highest Price RON,Water Level Area,Temp C Low ,Temp C High ,Hardness dH Low,Hardness dH High,pH Low,pH High,Display Name,Budget Category,Habitat Type,Experience Level,Tank Size Category,Distribution,MacroRegion,Picture URL,Note
Xiphophorus maculatus,XIPHO/PLATY/MOLLY,10.15,10.35,Mid/Top Water,20,26,10,30,7,8.2,Platy (Mickey Mouse),Low Budget,Flowing River,Beginner,Medium,Central America,North America,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Two_Xiphophorus_maculatus_in_aquarium.jpg/400px-Two_Xiphophorus_maculatus_in_aquarium.jpg,"Basic variety pair pictured. Photo by Carlosar / Wikimedia Commons, licensed under CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0) Source: https://commons.wikimedia.org/wiki/File:Two_Xiphophorus_maculatus_in_aquarium.jpg"
Xiphophorus maculatus,XIPHO/PLATY/MOLLY,10.35,10.35,Mid/Top Water,20,26,10,30,7,8.2,Platy (sunset wg),Low Budget,Flowing River,Beginner,Medium,Central America,North America,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Two_Xiphophorus_maculatus_in_aquarium.jpg/400px-Two_Xiphophorus_maculatus_in_aquarium.jpg,"Basic variety pair pictured. Photo by Carlosar / Wikimedia Commons, licensed under CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0) Source: https://commons.wikimedia.org/wiki/File:Two_Xiphophorus_maculatus_in_aquarium.jpg"
Xiphophorus maculatus,XIPHO/PLATY/MOLLY,10.35,10.35,Mid/Top Water,20,26,10,30,7,8.2,Platy (mix pintail),Low Budget,Flowing River,Beginner,Medium,Central America,North America,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Two_Xiphophorus_maculatus_in_aquarium.jpg/400px-Two_Xiphophorus_maculatus_in_aquarium.jpg,"Basic variety pair pictured. Photo by Carlosar / Wikimedia Commons, licensed under CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0) Source: https://commons.wikimedia.org/wiki/File:Two_Xiphophorus_maculatus_in_aquarium.jpg"
Xiphophorus maculatus,XIPHO/PLATY/MOLLY,10.35,10.35,Mid/Top Water,20,26,10,30,7,8.2,Platy (golden comet),Low Budget,Flowing River,Beginner,Medium,Central America,North America,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Two_Xiphophorus_maculatus_in_aquarium.jpg/400px-Two_Xiphophorus_maculatus_in_aquarium.jpg,"Basic variety pair pictured. Photo by Carlosar / Wikimedia Commons, licensed under CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0) Source: https://commons.wikimedia.org/wiki/File:Two_Xiphophorus_maculatus_in_aquarium.jpg"
Xiphophorus maculatus,XIPHO/PLATY/MOLLY,10.35,10.35,Mid/Top Water,20,26,10,30,7,8.2,Platy (red tuxedo hi-fin),Low Budget,Flowing River,Beginner,Medium,Central America,North America,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Two_Xiphophorus_maculatus_in_aquarium.jpg/400px-Two_Xiphophorus_maculatus_in_aquarium.jpg,"Basic variety pair pictured. Photo by Carlosar / Wikimedia Commons, licensed under CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0) Source: https://commons.wikimedia.org/wiki/File:Two_Xiphophorus_maculatus_in_aquarium.jpg"
Xiphophorus maculatus,XIPHO/PLATY/MOLLY,10.35,10.35,Mid/Top Water,20,26,10,30,7,8.2,Platy (pineaple wg),Low Budget,Flowing River,Beginner,Medium,Central America,North America,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Two_Xiphophorus_maculatus_in_aquarium.jpg/400px-Two_Xiphophorus_maculatus_in_aquarium.jpg,"Basic variety pair pictured. Photo by Carlosar / Wikimedia Commons, licensed under CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0) Source: https://commons.wikimedia.org/wiki/File:Two_Xiphophorus_maculatus_in_aquarium.jpg"
Xiphophorus maculatus,XIPHO/PLATY/MOLLY,10.35,10.35,Mid/Top Water,20,26,10,30,7,8.2,Platy (mickey mouse gold),Low Budget,Flowing River,Beginner,Medium,Central America,North America,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Two_Xiphophorus_maculatus_in_aquarium.jpg/400px-Two_Xiphophorus_maculatus_in_aquarium.jpg,"Basic variety pair pictured. Photo by Carlosar / Wikimedia Commons, licensed under CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0) Source: https://commons.wikimedia.org/wiki/File:Two_Xiphophorus_maculatus_in_aquarium.jpg"
Xiphophorus maculatus,XIPHO/PLATY/MOLLY,10.35,10.35,Mid/Top Water,20,26,10,30,7,8.2,Platy (kometa),Low Budget,Flowing River,Beginner,Medium,Central America,North America,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Two_Xiphophorus_maculatus_in_aquarium.jpg/400px-Two_Xiphophorus_maculatus_in_aquarium.jpg,"Basic variety pair pictured. Photo by Carlosar / Wikimedia Commons, licensed under CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0) Source: https://commons.wikimedia.org/wiki/File:Two_Xiphophorus_maculatus_in_aquarium.jpg"
Xiphophorus maculatus,XIPHO/PLATY/MOLLY,10.35,10.35,Mid/Top Water,20,26,10,30,7,8.2,Platy (golden WG),Low Budget,Flowing River,Beginner,Medium,Central America,North America,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Two_Xiphophorus_maculatus_in_aquarium.jpg/400px-Two_Xiphophorus_maculatus_in_aquarium.jpg,"Basic variety pair pictured. Photo by Carlosar / Wikimedia Commons, licensed under CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0) Source: https://commons.wikimedia.org/wiki/File:Two_Xiphophorus_maculatus_in_aquarium.jpg"
Xiphophorus maculatus,XIPHO/PLATY/MOLLY,10.35,10.35,Mid/Top Water,20,26,10,30,7,8.2,Platy (blue - red),Low Budget,Flowing River,Beginner,Medium,Central America,North America,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Two_Xiphophorus_maculatus_in_aquarium.jpg/400px-Two_Xiphophorus_maculatus_in_aquarium.jpg,"Basic variety pair pictured. Photo by Carlosar / Wikimedia Commons, licensed under CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0) Source: https://commons.wikimedia.org/wiki/File:Two_Xiphophorus_maculatus_in_aquarium.jpg"
Xiphophorus maculatus,XIPHO/PLATY/MOLLY,10.15,10.35,Mid/Top Water,20,26,10,30,7,8.2,Platy (berlin),Low Budget,Flowing River,Beginner,Medium,Central America,North America,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Two_Xiphophorus_maculatus_in_aquarium.jpg/400px-Two_Xiphophorus_maculatus_in_aquarium.jpg,"Basic variety pair pictured. Photo by Carlosar / Wikimedia Commons, licensed under CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0) Source: https://commons.wikimedia.org/wiki/File:Two_Xiphophorus_maculatus_in_aquarium.jpg"
Xiphophorus maculatus,XIPHO/PLATY/MOLLY,10.15,10.77,Mid/Top Water,20,26,10,30,7,8.2,Platy (sunset),Low Budget,Flowing River,Beginner,Medium,Central America,North America,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Two_Xiphophorus_maculatus_in_aquarium.jpg/400px-Two_Xiphophorus_maculatus_in_aquarium.jpg,"Basic variety pair pictured. Photo by Carlosar / Wikimedia Commons, licensed under CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0) Source: https://commons.wikimedia.org/wiki/File:Two_Xiphophorus_maculatus_in_aquarium.jpg"
Xiphophorus maculatus,XIPHO/PLATY/MOLLY,10.77,10.77,Mid/Top Water,20,26,10,30,7,8.2,Platy (tuxedo neon blue),Low Budget,Flowing River,Beginner,Medium,Central America,North America,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Two_Xiphophorus_maculatus_in_aquarium.jpg/400px-Two_Xiphophorus_maculatus_in_aquarium.jpg,"Basic variety pair pictured. Photo by Carlosar / Wikimedia Commons, licensed under CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0) Source: https://commons.wikimedia.org/wiki/File:Two_Xiphophorus_maculatus_in_aquarium.jpg"
Xiphophorus maculatus,XIPHO/PLATY/MOLLY,10.77,10.77,Mid/Top Water,20,26,10,30,7,8.2,Platy (red flame spotted),Low Budget,Flowing River,Beginner,Medium,Central America,North America,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Two_Xiphophorus_maculatus_in_aquarium.jpg/400px-Two_Xiphophorus_maculatus_in_aquarium.jpg,"Basic variety pair pictured. Photo by Carlosar / Wikimedia Commons, licensed under CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0) Source: https://commons.wikimedia.org/wiki/File:Two_Xiphophorus_maculatus_in_aquarium.jpg"
Xiphophorus maculatus,XIPHO/PLATY/MOLLY,10.77,10.77,Mid/Top Water,20,26,10,30,7,8.2,Platy (golden Speckled),Low Budget,Flowing River,Beginner,Medium,Central America,North America,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Two_Xiphophorus_maculatus_in_aquarium.jpg/400px-Two_Xiphophorus_maculatus_in_aquarium.jpg,"Basic variety pair pictured. Photo by Carlosar / Wikimedia Commons, licensed under CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0) Source: https://commons.wikimedia.org/wiki/File:Two_Xiphophorus_maculatus_in_aquarium.jpg"
