Scientific Name,Habitat
Oliotius oligolepis,Lakes
Corydoras aeneus,Rivers
Corydoras aeneus,Streams
Epalzeorhynchos bicolor,Rivers
Epalzeorhynchos bicolor,Streams
Epalzeorhynchos bicolor,Flooded Areas
Ancistrus,Rivers
Ancistrus,Streams
Corydoras panda,Rivers
Corydoras panda,Streams
Corydoras paleatus,Rivers
Corydoras paleatus,Streams
Corydoras paleatus,Pools
Corydoras paleatus,Lakes
Hyalobagrus flavus,Rivers
Hyalobagrus flavus,Streams
Hoplosternum thoracatum,Pools
Hoplosternum thoracatum,Ponds
Hoplosternum thoracatum,Swamp
Hoplosternum thoracatum,Flooded Areas
Hoplosternum thoracatum,Rivers
Hoplosternum thoracatum,Streams
Corydoras pygmaeus,Streams
Corydoras pygmaeus,Pools
Corydoras pygmaeus,Flooded Areas
Epalzeorhynchos frenatum,Rivers
Epalzeorhynchos frenatum,Streams
Epalzeorhynchos frenatum,Flooded Areas
Crossocheilus latius,Rivers
Crossocheilus latius,Streams
Crossocheilus latius,Canals
Crossocheilus latius,Pools
Corydoras habrosus,Rivers
Corydoras habrosus,Streams
Corydoras habrosus,Flooded Areas
Pangio oblonga,Streams
Pangio oblonga,Swamp
Pangio oblonga,Pools
Botia morleti,Rivers
Botia morleti,Streams
Botia morleti,Pools
Botia morleti,Flooded Areas
Botia histrionica,Rivers
Botia histrionica,Streams
Botia striata,Rivers
Botia striata,Streams
Botia lohachata,Rivers
Botia lohachata,Streams
Botia lohachata,Pools
Bunocephalus,Rivers
Bunocephalus,Streams
Bunocephalus,Pools
Bunocephalus,Ponds
Synodontis eupterus,Rivers
Synodontis eupterus,Streams
Synodontis eupterus,Lakes
Synodontis eupterus,Pools
Synodontis eupterus,Other Environments
Epalzeorhznchus kallopterus,Rivers
Epalzeorhznchus kallopterus,Streams
Epalzeorhznchus kallopterus,Flooded Areas
Corydoras julii,Rivers
Corydoras julii,Streams
Chandramara chandramara,Rivers
Chandramara chandramara,Streams
Crossocheilus reticulatus,Rivers
Crossocheilus reticulatus,Streams
Corydoras nannus,Streams
Hara jerdoni,Rivers
Hara jerdoni,Streams
Microsynodontis batesii,Rivers
Microsynodontis batesii,Streams
Hypostomus plecostomus,Rivers
Hypostomus plecostomus,Streams
Corydoras rabauti,Rivers
Corydoras rabauti,Streams
Corydoras rabauti,Flooded Areas
Corydoras rabauti,Lakes
Corydoras elegans,Streams
Corydoras elegans,Rivers
Platydoras costatus,Streams
Platydoras costatus,Swamp
Pareutropius buffei,Rivers
Pareutropius buffei,Streams
Pareutropius buffei,Flooded Areas
Dianema longibarbis,Streams
Dianema longibarbis,Ponds
Dianema longibarbis,Flooded Areas
Kryptopterus bicirrhis,Rivers
Kryptopterus bicirrhis,Streams
Kryptopterus bicirrhis,Pools
Rineloricaria microlepidogaster,Rivers
Rineloricaria microlepidogaster,Streams
Synodontis nigriventris,Rivers
Synodontis nigriventris,Streams
Schistura balteata,Rivers
Schistura balteata,Streams
Corydoras leucomelas,Rivers
Corydoras leucomelas,Streams
Corydoras sodalis,Rivers
Corydoras sodalis,Streams
Corydoras sodalis,Pools
Corydoras sodalis,Flooded Areas
Loricaria filamentosa,Rivers
Loricaria filamentosa,Streams
Corydoras virginae,Rivers
Corydoras virginae,Streams
Agamyxis albomaculatus,Rivers
Agamyxis albomaculatus,Streams
Corydoras punctatus,Rivers
Corydoras punctatus,Streams
Corydoras sterbai,Rivers
Corydoras sterbai,Streams
Corydoras sterbai,Flooded Areas
Corydoras sterbai,Pools
Corydoras trilineatus,Rivers
Corydoras trilineatus,Streams
Corydoras trilineatus,Flooded Areas
Corydoras trilineatus,Pools
Corydoras metae,Rivers
Corydoras metae,Streams
Rineloricaria lanceolata,Rivers
Rineloricaria lanceolata,Streams
Corydoras napoensis,Rivers
Corydoras napoensis,Streams
Corydoras agassizii,Rivers
Corydoras agassizii,Streams
Botia sidthimunki,Rivers
Botia sidthimunki,Streams
Botia dario,Rivers
Botia dario,Streams
Corydoras leopardus,Rivers
Corydoras leopardus,Streams
Corydoras leopardus,Ponds
Corydoras leopardus,Flooded Areas
Corydoras melanotaenia,Rivers
Corydoras melanotaenia,Streams
Corydoras melanotaenia,Flooded Areas
Corydoras davidsandsi,Rivers
Corydoras davidsandsi,Streams
Corydoras davidsandsi,Flooded Areas
Corydoras reticulatus,Rivers
Corydoras reticulatus,Streams
Corydoras adolfoi,Rivers
Corydoras adolfoi,Streams
Corydoras adolfoi,Flooded Areas
Botia kubotai,Rivers
Botia kubotai,Streams
Stiphodon atropurpureus,Streams
Brochis splendens,Rivers
Brochis splendens,Streams
Brochis splendens,Lakes
Corydoras melini,Rivers
Corydoras melini,Streams
Corydoras melini,Flooded Areas
Corydoras barbatus,Streams
Corydoras barbatus,Ponds
Corydoras barbatus,Rivers
Corydoras duplicareus,Rivers
Corydoras duplicareus,Streams
Corydoras duplicareus,Flooded Areas
Corydoras venezuelanus,Rivers
Corydoras venezuelanus,Streams
Trachelyichthys exilis,Rivers
Trachelyichthys exilis,Streams
Otocinclus cocama,Rivers
Otocinclus cocama,Streams
Peckoltia,Rivers
Peckoltia,Streams
Synodontis pardalis,Rivers
Farlowella vittata,Streams
Farlowella vittata,Rivers
Centromochlus perugiae,Rivers
Centromochlus perugiae,Streams
Synodontis petricola,Lakes
Corydoras seussi,Rivers
Corydoras seussi,Streams
Ancistrus dolichopterus,Rivers
Ancistrus dolichopterus,Streams
Synodontis brichardi,Rivers
Synodontis brichardi,Streams
Corydoras fowleri,Rivers
Corydoras fowleri,Streams
Corydoras multiradiatus,Rivers
Corydoras multiradiatus,Streams
Corydoras multiradiatus,Pools
Corydoras multiradiatus,Lakes
Ancistrus ranunculus,Rivers
Ancistrus ranunculus,Streams
Corydoras weitzmani,Rivers
Corydoras weitzmani,Streams
Corydoras weitzmani,Ponds
Corydoras weitzmani,Lakes
Corydoras burgessi,Rivers
Corydoras burgessi,Streams
Corydoras burgessi,Flooded Areas
Corydoras robustus,Rivers
Corydoras robustus,Streams
Corydoras robustus,Flooded Areas
Brachygobius doriae,Streams
Brachygobius doriae,Swamp
Brachygobius doriae,Brackish
Badis badis,Streams
Badis badis,Rivers
Badis badis,Flooded Areas
Acanthophthalmus kuhli,Streams
Acanthophthalmus kuhli,Swamp
Acanthophthalmus kuhli,Pools
Garra rufa,Rivers
Garra rufa,Streams
Pangio semicincta,Streams
Pangio semicincta,Swamp
Pangio semicincta,Pools
Pseudocrenilabrus multicolor,Streams
Pseudocrenilabrus multicolor,Ponds
Pseudocrenilabrus multicolor,Lakes
Yunnanilus cruciatus,Streams
Yunnanilus cruciatus,Ponds
Yunnanilus cruciatus,Swamp
Yunnanilus cruciatus,Lakes
Tateurndina ocellicauda,Ponds
Tateurndina ocellicauda,Streams
Tateurndina ocellicauda,Rivers
Chamidogobius eremius,Pools
Chamidogobius eremius,Streams
Pantodon buchholzi,Streams
Pantodon buchholzi,Lakes
