Scientific Name,Compatibility Tag
Pseudomugil furcatus,Very Small Fish
Melanotaenia maccullochi,Small Fish
Melanotaenia maccullochi,Peaceful Fish
Melanotaenia maccullochi,Very Small Fish
Melanotaenia herbertaxelrodi,Small Fish
Melanotaenia herbertaxelrodi,Peaceful Fish
Melanotaenia herbertaxelrodi,Medium-Sized Fish
Melanotaenia boesemani,Peaceful Fish
Melanotaenia boesemani,Small Fish
Melanotaenia boesemani,Active Fish
Melanotaenia boesemani,Medium-Sized Fish
Chilatherina bleheri,Small Fish
Chilatherina bleheri,Peaceful Fish
Chilatherina bleheri,Medium-Sized Fish
Melanotaenia trifasciata,Small Fish
Melanotaenia trifasciata,Peaceful Fish
Melanotaenia trifasciata,Medium-Sized Fish
Melanotaenia trifasciata,Active Fish
Melanotaenia lacustris,Small Fish
Melanotaenia lacustris,Peaceful Fish
Melanotaenia lacustris,Medium-Sized Fish
Melanotaenia lacustris,Active Fish
Melanotaenia splendida rubrostriata,Small Fish
Melanotaenia splendida rubrostriata,Peaceful Fish
Melanotaenia splendida rubrostriata,Medium-Sized Fish
Pseudomugil gertrudae,Small Fish
Pseudomugil gertrudae,Peaceful Fish
Pseudomugil gertrudae,Very Small Fish
Melanoteania papuensis,Small Fish
Melanoteania papuensis,Peaceful Fish
Melanoteania papuensis,Medium-Sized Fish
Melanoteania papuensis,Active Fish
Melanotaenia parkinsoni,Small Fish
Melanotaenia parkinsoni,Peaceful Fish
Melanotaenia parkinsoni,Medium-Sized Fish
Melanotaenia parkinsoni,Active Fish
Melanotaenia australis,Small Fish
Melanotaenia australis,Peaceful Fish
Melanotaenia australis,Medium-Sized Fish
Melanotaenia australis,Active Fish
Pseudomugil signifer,Small Fish
Pseudomugil signifer,Peaceful Fish
Anomalochromis thomasi,Small Fish
Anomalochromis thomasi,Peaceful Fish
Anomalochromis thomasi,Medium-Sized Fish
Pelvicachromis pulcher,Small Fish
Pelvicachromis pulcher,Peaceful Fish
Pelvicachromis pulcher,Medium-Sized Fish
Steatocranus tinanti,Medium-Sized Fish
Steatocranus tinanti,Peaceful Fish
Chromidotilapia guntheri,Medium-Sized Fish
Chromidotilapia guntheri,Peaceful Fish
Pelvicachromis taeniatus,Small Fish
Pelvicachromis taeniatus,Peaceful Fish
Nanochromis transverstitus,Small Fish
Nanochromis transverstitus,Peaceful Fish
Nanochromis nudiceps,Small Fish
Nanochromis nudiceps,Peaceful Fish
Nanochromis parilus,Small Fish
Nanochromis parilus,Peaceful Fish
Pelvicachromis subocellatus,Small Fish
Pelvicachromis subocellatus,Peaceful Fish
Hyphessobrycon amandae,Small Fish
Hyphessobrycon amandae,Peaceful Fish
Hyphessobrycon amandae,Very Small Fish
Pristella maxillaris riddlei,Small Fish
Pristella maxillaris riddlei,Peaceful Fish
Pristella maxillaris riddlei,Very Small Fish
Axelrodia riesei,Peaceful Fish
Axelrodia riesei,Very Small Fish
Gymnocorymbus ternetzi,Small Fish
Gymnocorymbus ternetzi,Medium-Sized Fish
Gymnocorymbus ternetzi,Medium-Large Fish
Moenkhausia columbiana,Small Fish
Moenkhausia columbiana,Peaceful Fish
Moenkhausia columbiana,Medium-Sized Fish
Moenkhausia columbiana,Medium-Large Fish
Hemigrammus ocellifer,Small Fish
Hemigrammus ocellifer,Peaceful Fish
Hemigrammus ocellifer,Medium-Sized Fish
Hemigrammus rhodostomus,Small Fish
Hemigrammus rhodostomus,Peaceful Fish
Hemigrammus rhodostomus,Medium-Sized Fish
Nannostomus beckfordi,Small Fish
Nannostomus beckfordi,Peaceful Fish
Nannostomus beckfordi,Medium-Sized Fish
Moenkhausia sanctaefilomenae,Small Fish
Moenkhausia sanctaefilomenae,Active Fish
Moenkhausia sanctaefilomenae,Medium-Sized Fish
Moenkhausia sanctaefilomenae,Medium-Large Fish
Aphyocharax anisitsi,Small Fish
